Metric,RAG_Score,LLM_Socre
keyword_matches 关键词匹配,"[0.6, 0.38, 0.38, 0.38, 0.64]","[0.6, 0.54, 0.46, 0.46, 0.57]"
freq_similarities 词频分布余弦相似度,"[0.3, 0.22, 0.16, 0.24, 0.26]","[0.34, 0.34, 0.17, 0.08, 0.19]"
perplexities 困惑度,"[30.43, 18.74, 22.05, 5.74, 10.59]","[9.37, 7.06, 7.91, 5.62, 6.59]"
LLM选择,"[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]"

Metric,RAG_Score,LLM_Socre
ttr_scores 词汇丰富度,"[0.75, 0.61, 0.81, 0.76, 0.78]","[0.68, 0.64, 0.77, 0.76, 0.73]"
keyword_matches 关键词匹配,"[0.75, 0.74, 0.68, 0.67, 0.71]","[0.75, 0.68, 0.68, 0.67, 0.62]"
freq_similarities 词频分布余弦相似度,"[0.46, 0.54, 0.39, 0.33, 0.57]","[0.44, 0.47, 0.42, 0.42, 0.37]"
perplexities 困惑度,"[10.04, 10.79, 16.13, 12.84, 11.54]","[6.5, 13.08, 8.64, 9.96, 9.36]"
LLM选择,"[1, 0, 1, 1, 1]","[0, 1, 0, 0, 0]"

Metric,RAG_Score,LLM_Socre
ttr_scores 词汇丰富度,"[0.75, 0.76, 0.84, 0.68, 0.71]","[0.77, 0.82, 0.81, 0.76, 0.75]"
keyword_matches 关键词匹配,"[0.67, 0.67, 0.55, 0.5, 0.5]","[0.5, 0.33, 0.45, 0.36, 0.5]"
freq_similarities 词频分布余弦相似度,"[0.15, 0.24, 0.22, 0.13, 0.28]","[0.12, 0.11, 0.23, 0.09, 0.26]"
perplexities 困惑度,"[7.51, 6.87, 12.61, 14.6, 9.32]","[8.66, 7.66, 17.16, 10.84, 9.34]"
LLM选择,"[1, 1, 1, 0, 1]","[0, 0, 0, 1, 0]"

Metric,RAG_Score,LLM_Socre
ttr_scores 词汇丰富度,"[0.79, 0.8, 0.7, 0.67, 0.64]","[0.76, 0.72, 0.61, 0.65, 0.7]"
keyword_matches 关键词匹配,"[0.76, 0.29, 0.68, 0.71, 0.55]","[0.41, 0.35, 0.59, 0.59, 0.4]"
freq_similarities 词频分布余弦相似度,"[0.28, 0.11, 0.45, 0.37, 0.25]","[0.16, 0.15, 0.29, 0.28, 0.2]"
perplexities 困惑度,"[15.53, 24.62, 10.68, 7.18, 7.93]","[13.93, 7.87, 8.91, 7.11, 10.72]"
LLM选择,"[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]"

Metric,RAG_Score,LLM_Socre
ttr_scores 词汇丰富度,"[0.67, 0.73, 0.67, 0.81, 0.75]","[0.7, 0.79, 0.76, 0.77, 0.82]"
keyword_matches 关键词匹配,"[0.29, 0.6, 0.71, 0.3, 0.58]","[0.36, 0.6, 0.18, 0.3, 0.25]"
freq_similarities 词频分布余弦相似度,"[0.13, 0.44, 0.26, 0.08, 0.14]","[0.23, 0.39, 0.09, 0.12, 0.08]"
perplexities 困惑度,"[16.46, 12.26, 6.99, 10.7, 8.66]","[9.49, 12.75, 9.09, 10.4, 9.61]"
LLM选择,"[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]"

Metric,RAG_Score,LLM_Socre
ttr_scores 词汇丰富度,"[0.76, 0.72, 0.54, 0.73, 0.86]","[0.74, 0.69, 0.8, 0.67, 0.74]"
keyword_matches 关键词匹配,"[0.62, 0.62, 0.71, 0.55, 0.36]","[0.38, 0.62, 0.64, 0.55, 0.29]"
freq_similarities 词频分布余弦相似度,"[0.21, 0.28, 0.25, 0.29, 0.2]","[0.12, 0.19, 0.31, 0.23, 0.16]"
perplexities 困惑度,"[7.55, 6.08, 4.91, 7.04, 11.38]","[7.39, 7.2, 11.16, 7.8, 8.82]"
LLM选择,"[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]"

Metric,RAG_Score,LLM_Socre
ttr_scores 词汇丰富度,"[0.71, 0.77, 0.74, 0.72, 0.79]","[0.75, 0.78, 0.72, 0.66, 0.77]"
keyword_matches 关键词匹配,"[0.71, 0.77, 0.5, 0.68, 0.26]","[0.71, 0.64, 0.56, 0.73, 0.42]"
freq_similarities 词频分布余弦相似度,"[0.34, 0.49, 0.34, 0.45, 0.29]","[0.22, 0.42, 0.35, 0.44, 0.37]"
perplexities 困惑度,"[7.17, 10.51, 10.32, 7.4, 10.17]","[6.92, 11.88, 8.75, 5.51, 9.42]"
LLM选择,"[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]"

Metric,RAG_Score,LLM_Socre
ttr_scores 词汇丰富度,"[0.72, 0.7, 0.75, 0.81, 0.78]","[0.72, 0.73, 0.72, 0.74, 0.72]"
keyword_matches 关键词匹配,"[0.6, 0.73, 0.44, 0.5, 0.33]","[0.53, 0.67, 0.44, 0.62, 0.72]"
freq_similarities 词频分布余弦相似度,"[0.15, 0.36, 0.22, 0.16, 0.14]","[0.14, 0.25, 0.26, 0.33, 0.2]"
perplexities 困惑度,"[11.54, 12.92, 9.28, 19.73, 12.07]","[7.19, 8.91, 12.85, 12.56, 7.63]"
LLM选择,"[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]"

Metric,RAG_Score,LLM_Socre
ttr_scores 词汇丰富度,"[0.86, 0.85, 0.78, 0.54, 0.7]","[0.8, 0.74, 0.76, 0.83, 0.63]"
keyword_matches 关键词匹配,"[0.58, 0.58, 0.57, 0.83, 0.65]","[0.58, 0.42, 0.43, 0.71, 0.59]"
freq_similarities 词频分布余弦相似度,"[0.28, 0.34, 0.29, 0.36, 0.52]","[0.31, 0.15, 0.15, 0.31, 0.37]"
perplexities 困惑度,"[7.52, 32.48, 11.73, 8.21, 29.3]","[6.76, 12.47, 12.42, 12.59, 13.02]"
LLM选择,"[1, 1, 1, 1, 0]","[0, 0, 0, 0, 1]"

Metric,RAG_Score,LLM_Socre
ttr_scores 词汇丰富度,"[0.75, 0.8, 0.81, 0.72, 0.87]","[0.73, 0.76, 0.75, 0.66, 0.86]"
keyword_matches 关键词匹配,"[0.76, 0.76, 0.67, 0.79, 0.74]","[0.59, 0.43, 0.47, 0.62, 0.58]"
freq_similarities 词频分布余弦相似度,"[0.53, 0.37, 0.35, 0.45, 0.57]","[0.49, 0.27, 0.26, 0.33, 0.48]"
perplexities 困惑度,"[12.24, 24.5, 19.67, 14.95, 17.56]","[17.51, 16.19, 14.68, 14.86, 20.29]"
LLM选择,"[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]"

Metric,RAG_Score,LLM_Socre
ttr_scores 词汇丰富度,"[0.78, 0.73, 0.75, 0.8, 0.61]","[0.86, 0.77, 0.73, 0.75, 0.79]"
keyword_matches 关键词匹配,"[0.44, 0.73, 0.53, 0.67, 0.67]","[0.56, 0.67, 0.63, 0.61, 0.48]"
freq_similarities 词频分布余弦相似度,"[0.12, 0.28, 0.18, 0.25, 0.37]","[0.21, 0.26, 0.2, 0.28, 0.22]"
perplexities 困惑度,"[7.61, 5.59, 7.82, 11.26, 6.09]","[9.37, 7.08, 9.09, 11.79, 11.88]"
LLM选择,"[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]"

Metric,RAG_Score,LLM_Socre
ttr_scores 词汇丰富度,"[0.8, 0.61, 0.85, 0.72, 0.82]","[0.7, 0.68, 0.77, 0.78, 0.79]"
keyword_matches 关键词匹配,"[0.71, 0.59, 0.53, 0.71, 0.65]","[0.71, 0.59, 0.53, 0.67, 0.35]"
freq_similarities 词频分布余弦相似度,"[0.4, 0.28, 0.23, 0.43, 0.25]","[0.21, 0.27, 0.18, 0.29, 0.16]"
perplexities 困惑度,"[8.83, 8.02, 13.28, 9.33, 12.87]","[6.53, 12.3, 7.59, 11.99, 11.21]"
LLM选择,"[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]"
