perplexities 困惑度,"[13.12, 8.33, 4.93, 10.1, 16.33, 7.68, 8.29, 18.06]","[10.69, 8.28, 7.79, 8.37, 14.71, 13.83, 7.99, 10.01]"
LLM选择,"[1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[4.5, 7.53, 7.55, 8.16, 8.5, 10.72, 5.35, 6.97]","[5.83, 7.81, 6.6, 8.8, 8.25, 10.46, 8.79, 9.8]"
LLM选择,"[1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[7.07, 7.4, 14.82, 6.73, 11.73, 10.81, 6.37, 143.19]","[8.9, 8.8, 7.57, 6.96, 10.63, 11.65, 6.14, 12.55]"
LLM选择,"[1, 1, 1, 1, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 1]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[12.28, 13.03, 12.45, 8.96, 8.51, 5.97, 19.49, 29.72]","[9.5, 8.94, 9.54, 10.56, 6.57, 8.91, 8.26, 9.47]"
LLM选择,"[1, 1, 1, 1, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 1]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[48.96, 9.92, 11.07, 11.28, 12.31, 5.94]","[9.59, 8.44, 8.02, 6.32, 7.9, 8.83]"
LLM选择,"[1, 1, 1, 0, 1, 1]","[0, 0, 0, 1, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[5.9, 6.09, 5.75, 11.31, 11.67, 5.05]","[7.08, 6.27, 6.91, 5.95, 7.19, 9.25]"
LLM选择,"[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[5.78, 4.93, 8.4, 7.5, 13.98, 12.89]","[9.27, 9.75, 6.28, 7.3, 9.07, 9.58]"
LLM选择,"[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[11.88, 8.53, 11.13, 6.05, 6.74, 5.0]","[7.75, 6.01, 6.08, 7.06, 6.92, 7.4]"
LLM选择,"[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[15.8, 8.4, 11.98, 10.35, 7.29, 5.2]","[10.6, 9.51, 11.05, 7.05, 7.75, 7.36]"
LLM选择,"[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[6.73, 10.16, 10.36, 12.61, 8.14, 23.9]","[11.93, 10.22, 10.3, 8.4, 10.01, 6.89]"
LLM选择,"[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[5.46, 11.43, 11.49, 6.66, 10.2, 6.12]","[7.73, 5.72, 7.02, 8.15, 5.68, 5.19]"
LLM选择,"[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[10.19, 16.0, 14.86, 16.4, 6.54, 8.82]","[7.91, 9.71, 10.02, 7.4, 6.74, 5.36]"
LLM选择,"[1, 0, 1, 1, 1, 1]","[0, 1, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[7.04, 7.74, 7.89, 12.81, 21.61, 6.61]","[8.14, 8.22, 7.84, 8.12, 10.48, 7.63]"
LLM选择,"[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[6.91, 4.98, 7.08, 8.95, 3.94, 9.56]","[10.91, 7.05, 9.32, 7.08, 6.61, 7.98]"
LLM选择,"[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[4.38, 4.7, 4.79, 6.24, 8.58, 6.2]","[4.9, 8.29, 4.55, 5.9, 9.92, 5.2]"
LLM选择,"[1, 1, 1, 0, 1, 1]","[0, 0, 0, 1, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[5.57, 12.06, 6.49, 5.97, 4.99, 4.01]","[7.45, 6.93, 6.42, 6.57, 6.87, 9.75]"
LLM选择,"[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[9.59, 7.75, 15.39, 5.61, 11.48, 8.55]","[10.03, 8.44, 7.6, 6.68, 7.43, 6.22]"
LLM选择,"[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[8.06, 12.72, 8.27, 6.96, 12.52, 7.03]","[9.23, 5.97, 7.31, 6.25, 10.21, 7.69]"
LLM选择,"[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[29.15, 9.7, 9.87, 8.47, 13.09, 26.41]","[12.08, 8.69, 5.5, 10.66, 10.68, 8.72]"
LLM选择,"[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[8.46, 5.74, 13.3, 11.67, 10.42, 13.95]","[7.32, 11.18, 6.84, 9.17, 7.51, 6.35]"
LLM选择,"[1, 1, 1, 0, 1, 1]","[0, 0, 0, 1, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[8.36, 23.86, 20.7, 15.12, 11.66, 7.65]","[11.15, 6.61, 9.27, 13.08, 11.57, 8.61]"
LLM选择,"[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[10.84, 20.88, 5.26, 21.18, 143.19, 70.4]","[6.3, 18.25, 12.56, 14.62, 11.1, 5.52]"
LLM选择,"[1, 1, 1, 0, 0, 1]","[0, 0, 0, 1, 1, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[14.27, 3.86, 6.63, 6.35, 15.02, 19.18]","[13.21, 7.01, 10.81, 8.37, 12.32, 13.0]"
LLM选择,"[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[5.84, 10.7, 10.94, 8.62, 7.47, 13.88]","[7.21, 7.91, 7.24, 8.3, 7.35, 6.73]"
LLM选择,"[1, 1, 1, 0, 1, 1]","[0, 0, 0, 1, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[5.09, 6.92, 8.7, 6.2, 5.64, 8.48]","[5.69, 9.22, 7.34, 8.97, 6.06, 8.56]"
LLM选择,"[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[16.66, 10.01, 11.92, 16.03, 7.46, 17.69]","[7.65, 5.79, 7.96, 7.63, 7.17, 11.3]"
LLM选择,"[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[11.97, 9.92, 7.45, 8.51, 7.1, 12.33]","[13.51, 5.96, 5.57, 5.26, 7.72, 6.45]"
LLM选择,"[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]"
