Metric,RAG_Score,LLM_Socre
keyword_matches 关键词匹配,"[0.38, 0.56, 0.33, 0.25, 0.38, 0.44, 0.5, 0.5, 0.14, 0.4]","[0.5, 0.22, 0.33, 0.38, 0.38, 0.44, 0.5, 0.5, 0.29, 0.5]"
freq_similarities 词频分布余弦相似度,"[0.22, 0.15, 0.17, 0.23, 0.18, 0.24, 0.27, 0.25, 0.07, 0.36]","[0.24, 0.11, 0.12, 0.14, 0.22, 0.26, 0.15, 0.19, 0.13, 0.32]"
perplexities 困惑度,"[18.02, 19.09, 12.87, 5.71, 5.4, 6.62, 7.29, 7.11, 19.58, 37.5]","[13.6, 8.37, 8.65, 9.91, 8.41, 5.52, 9.6, 9.79, 6.62, 7.86]"
LLM选择,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
ttr_scores 词汇丰富度,"[0.7, 0.64, 0.76, 0.86, 0.77, 0.82, 0.81, 0.81, 0.78, 0.7]","[0.76, 0.75, 0.77, 0.71, 0.78, 0.82, 0.8, 0.75, 0.76, 0.75]"
keyword_matches 关键词匹配,"[0.5, 0.67, 0.55, 0.55, 0.45, 0.44, 0.5, 0.27, 0.55, 0.5]","[0.5, 0.5, 0.45, 0.45, 0.45, 0.33, 0.5, 0.27, 0.36, 0.5]"
freq_similarities 词频分布余弦相似度,"[0.31, 0.27, 0.18, 0.22, 0.3, 0.22, 0.27, 0.17, 0.3, 0.2]","[0.22, 0.16, 0.11, 0.17, 0.28, 0.12, 0.41, 0.09, 0.11, 0.22]"
perplexities 困惑度,"[7.06, 7.56, 9.37, 11.37, 12.13, 14.24, 9.11, 9.76, 7.76, 8.91]","[7.06, 12.1, 8.86, 8.35, 9.38, 7.67, 6.55, 11.77, 7.93, 9.62]"
LLM选择,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
ttr_scores 词汇丰富度,"[0.63, 0.74, 0.62, 0.82, 0.62, 1.0, 0.74, 0.73, 0.64, 0.54]","[0.75, 0.67, 0.74, 0.75, 0.79, 0.77, 0.7, 0.68, 0.79, 0.73]"
keyword_matches 关键词匹配,"[0.67, 0.38, 0.6, 0.4, 0.62, 0.44, 0.53, 0.5, 0.5, 0.43]","[0.67, 0.38, 0.3, 0.4, 0.54, 0.33, 0.6, 0.6, 0.3, 0.29]"
freq_similarities 词频分布余弦相似度,"[0.21, 0.12, 0.21, 0.15, 0.27, 0.37, 0.17, 0.24, 0.11, 0.14]","[0.26, 0.14, 0.11, 0.08, 0.27, 0.16, 0.16, 0.26, 0.09, 0.1]"
perplexities 困惑度,"[12.11, 12.39, 8.73, 19.45, 11.88, 16.54, 19.51, 8.25, 19.81, 5.46]","[7.03, 7.71, 10.24, 10.8, 12.29, 5.38, 10.08, 7.1, 7.99, 7.84]"
LLM选择,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
ttr_scores 词汇丰富度,"[0.63, 0.68, 0.82, 0.64, 0.66, 0.71, 0.72, 0.68, 0.75, 0.59]","[0.77, 0.8, 0.76, 0.63, 0.68, 0.66, 0.72, 0.66, 0.7, 0.71]"
keyword_matches 关键词匹配,"[0.62, 0.44, 0.71, 0.53, 0.62, 0.58, 0.62, 0.38, 0.5, 0.64]","[0.62, 0.56, 0.53, 0.41, 0.62, 0.47, 0.62, 0.54, 0.57, 0.5]"
freq_similarities 词频分布余弦相似度,"[0.22, 0.29, 0.44, 0.39, 0.33, 0.36, 0.21, 0.17, 0.2, 0.38]","[0.24, 0.27, 0.35, 0.3, 0.37, 0.3, 0.22, 0.23, 0.26, 0.25]"
perplexities 困惑度,"[11.52, 7.01, 19.0, 10.68, 8.54, 9.76, 6.42, 8.73, 6.51, 8.55]","[13.23, 12.47, 13.36, 7.19, 10.78, 7.64, 7.13, 6.21, 6.19, 9.48]"
LLM选择,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
ttr_scores 词汇丰富度,"[0.74, 0.65, 0.69, 0.76, 0.69, 0.6, 0.79, 0.69, 0.63, 0.78]","[0.74, 0.68, 0.8, 0.68, 0.74, 0.7, 0.79, 0.8, 0.78, 0.66]"
keyword_matches 关键词匹配,"[0.76, 0.53, 0.64, 0.53, 0.67, 0.69, 0.4, 0.6, 0.62, 0.75]","[0.71, 0.47, 0.57, 0.67, 0.53, 0.44, 0.4, 0.53, 0.62, 0.56]"
freq_similarities 词频分布余弦相似度,"[0.38, 0.33, 0.29, 0.23, 0.28, 0.27, 0.13, 0.34, 0.25, 0.46]","[0.4, 0.3, 0.19, 0.34, 0.23, 0.2, 0.15, 0.28, 0.24, 0.48]"
perplexities 困惑度,"[15.52, 11.64, 5.16, 8.44, 7.8, 5.24, 17.11, 13.59, 6.66, 21.46]","[9.54, 5.54, 8.31, 6.28, 7.44, 6.92, 8.98, 12.21, 8.13, 8.71]"
LLM选择,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
ttr_scores 词汇丰富度,"[0.6, 0.72, 0.76, 0.63, 0.75, 0.92, 1.0, 0.71, 0.69, 1.0]","[0.63, 0.76, 0.72, 0.67, 0.74, 0.81, 0.8, 0.6, 0.81, 0.82]"
keyword_matches 关键词匹配,"[0.67, 0.55, 0.5, 0.5, 0.55, 0.62, 0.64, 0.45, 0.62, 0.67]","[0.67, 0.55, 0.42, 0.57, 0.45, 0.54, 0.5, 0.45, 0.54, 0.67]"
freq_similarities 词频分布余弦相似度,"[0.32, 0.3, 0.29, 0.41, 0.32, 0.42, 0.63, 0.23, 0.3, 0.68]","[0.4, 0.28, 0.25, 0.27, 0.22, 0.29, 0.32, 0.2, 0.21, 0.32]"
perplexities 困惑度,"[10.3, 9.69, 6.11, 10.35, 11.78, 18.42, 131.59, 6.81, 6.39, 146.14]","[7.41, 7.41, 7.26, 8.41, 8.5, 10.16, 7.96, 5.52, 8.16, 12.17]"
LLM选择,"[1, 1, 0, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
ttr_scores 词汇丰富度,"[1.0, 0.67, 0.77, 0.68, 0.83, 0.78, 0.67, 0.7, 0.83, 0.56]","[0.82, 0.68, 0.72, 0.74, 0.72, 0.77, 0.67, 0.72, 0.71, 0.71]"
keyword_matches 关键词匹配,"[0.73, 0.6, 0.5, 0.4, 0.5, 0.44, 0.5, 0.72, 0.57, 0.5]","[0.47, 0.4, 0.42, 0.4, 0.4, 0.33, 0.5, 0.61, 0.57, 0.42]"
freq_similarities 词频分布余弦相似度,"[0.69, 0.17, 0.32, 0.24, 0.27, 0.21, 0.28, 0.46, 0.46, 0.58]","[0.35, 0.12, 0.24, 0.11, 0.27, 0.23, 0.28, 0.35, 0.36, 0.31]"
perplexities 困惑度,"[36.63, 5.8, 6.38, 4.89, 6.82, 6.59, 6.79, 10.92, 14.99, 4.37]","[6.57, 6.27, 5.42, 7.74, 5.61, 5.11, 5.82, 8.9, 6.9, 6.52]"
LLM选择,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
Metric,RAG_Score,LLM_Socre
ttr_scores 词汇丰富度,"[0.83, 0.77, 0.74, 0.86, 0.86, 0.69, 0.52, 0.77, 0.84, 0.85]","[0.77, 0.75, 0.72, 0.77, 0.81, 0.79, 0.67, 0.78, 0.8, 0.68]"
keyword_matches 关键词匹配,"[0.4, 0.62, 0.55, 0.55, 0.46, 0.54, 0.55, 0.64, 0.57, 0.54]","[0.4, 0.46, 0.45, 0.55, 0.46, 0.62, 0.55, 0.57, 0.57, 0.38]"
freq_similarities 词频分布余弦相似度,"[0.13, 0.25, 0.25, 0.22, 0.24, 0.52, 0.32, 0.3, 0.34, 0.3]","[0.19, 0.16, 0.23, 0.24, 0.22, 0.44, 0.27, 0.28, 0.31, 0.17]"
perplexities 困惑度,"[9.23, 8.48, 6.5, 8.28, 9.94, 8.18, 5.37, 6.64, 8.43, 17.14]","[10.84, 10.42, 6.1, 8.3, 9.5, 8.27, 6.98, 8.59, 9.35, 7.25]"
LLM选择,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
ttr_scores 词汇丰富度,"[0.8, 0.77, 0.69, 0.63, 0.82, 0.59, 0.84, 0.67, 0.68, 0.68]","[0.78, 0.7, 0.84, 0.76, 0.72, 0.67, 0.83, 0.66, 0.68, 0.71]"
keyword_matches 关键词匹配,"[0.5, 0.58, 0.62, 0.67, 0.64, 0.71, 0.45, 0.56, 0.54, 0.58]","[0.5, 0.58, 0.46, 0.61, 0.64, 0.59, 0.45, 0.44, 0.46, 0.58]"
freq_similarities 词频分布余弦相似度,"[0.17, 0.32, 0.31, 0.49, 0.28, 0.55, 0.26, 0.21, 0.29, 0.26]","[0.25, 0.26, 0.29, 0.34, 0.33, 0.46, 0.18, 0.17, 0.2, 0.16]"
perplexities 困惑度,"[11.07, 39.43, 7.37, 9.07, 14.2, 9.03, 12.86, 8.04, 7.18, 16.17]","[7.09, 12.68, 12.62, 13.03, 9.48, 9.62, 8.13, 11.52, 7.93, 14.11]"
LLM选择,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
ttr_scores 词汇丰富度,"[0.69, 0.74, 0.86, 0.78, 0.76, 0.76, 0.75, 0.78, 0.68, 0.85]","[0.81, 0.75, 0.7, 0.71, 0.75, 0.68, 0.85, 0.69, 0.76, 0.78]"
keyword_matches 关键词匹配,"[0.64, 0.55, 0.46, 0.45, 0.42, 0.62, 0.4, 0.5, 0.58, 0.5]","[0.45, 0.45, 0.54, 0.45, 0.42, 0.54, 0.4, 0.42, 0.58, 0.3]"
freq_similarities 词频分布余弦相似度,"[0.25, 0.19, 0.17, 0.21, 0.15, 0.24, 0.1, 0.16, 0.27, 0.15]","[0.12, 0.13, 0.11, 0.11, 0.17, 0.2, 0.13, 0.2, 0.26, 0.06]"
perplexities 困惑度,"[11.09, 9.16, 19.17, 14.04, 11.93, 16.22, 20.88, 22.24, 13.77, 10.66]","[11.21, 8.36, 9.89, 7.61, 12.22, 13.13, 7.18, 6.2, 8.01, 8.04]"
LLM选择,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
ttr_scores 词汇丰富度,"[0.74, 0.8, 0.8, 0.76, 0.71, 0.73, 0.8, 0.7, 0.8, 0.58]","[0.77, 0.67, 0.66, 0.66, 0.64, 0.74, 0.76, 0.76, 0.69, 0.73]"
keyword_matches 关键词匹配,"[0.64, 0.58, 0.67, 0.64, 0.64, 0.54, 0.42, 0.64, 0.5, 0.75]","[0.64, 0.5, 0.67, 0.64, 0.64, 0.54, 0.33, 0.55, 0.5, 0.5]"
freq_similarities 词频分布余弦相似度,"[0.15, 0.3, 0.4, 0.32, 0.36, 0.3, 0.15, 0.27, 0.13, 0.37]","[0.15, 0.17, 0.32, 0.32, 0.32, 0.2, 0.08, 0.17, 0.11, 0.18]"
perplexities 困惑度,"[7.59, 9.98, 23.28, 10.0, 12.51, 7.24, 24.06, 10.64, 8.41, 11.05]","[8.98, 7.33, 13.57, 6.86, 8.89, 5.91, 7.08, 8.23, 6.49, 9.16]"
LLM选择,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
ttr_scores 词汇丰富度,"[0.75, 0.7, 0.86, 0.82, 0.58, 0.8, 0.72, 0.71, 0.6, 0.78]","[0.72, 0.77, 0.74, 0.73, 0.73, 0.72, 0.73, 0.65, 0.7, 0.72]"
keyword_matches 关键词匹配,"[0.69, 0.58, 0.44, 0.57, 0.55, 0.64, 0.38, 0.73, 0.67, 0.54]","[0.69, 0.58, 0.62, 0.5, 0.45, 0.43, 0.62, 0.53, 0.5, 0.46]"
freq_similarities 词频分布余弦相似度,"[0.21, 0.23, 0.21, 0.28, 0.13, 0.3, 0.31, 0.3, 0.15, 0.3]","[0.28, 0.21, 0.28, 0.23, 0.16, 0.22, 0.31, 0.22, 0.11, 0.15]"
perplexities 困惑度,"[7.03, 7.16, 16.24, 8.21, 5.23, 11.55, 10.31, 6.71, 4.87, 6.15]","[6.41, 7.37, 7.49, 9.33, 5.78, 7.83, 10.89, 8.71, 8.69, 6.77]"
LLM选择,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
ttr_scores 词汇丰富度,"[0.71, 0.56, 0.8, 0.7, 0.64, 0.65, 0.77, 0.76, 0.74, 0.81]","[0.61, 0.81, 0.71, 0.69, 0.66, 0.79, 0.77, 0.8, 0.8, 0.78]"
keyword_matches 关键词匹配,"[0.69, 0.71, 0.64, 0.71, 0.64, 0.65, 0.67, 0.69, 0.62, 0.62]","[0.62, 0.64, 0.64, 0.65, 0.57, 0.47, 0.67, 0.44, 0.54, 0.62]"
freq_similarities 词频分布余弦相似度,"[0.31, 0.28, 0.32, 0.33, 0.47, 0.32, 0.32, 0.39, 0.35, 0.25]","[0.3, 0.19, 0.22, 0.33, 0.36, 0.19, 0.42, 0.22, 0.2, 0.2]"
perplexities 困惑度,"[11.48, 7.25, 9.19, 14.19, 8.7, 9.73, 17.05, 23.44, 11.53, 14.91]","[6.34, 17.72, 6.72, 8.62, 7.81, 11.85, 14.67, 12.77, 10.0, 10.14]"
LLM选择,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
ttr_scores 词汇丰富度,"[1.0, 0.89, 1.0, 1.0, 0.67, 0.67, 0.75, 0.85, 0.82, 0.8]","[0.85, 0.78, 0.92, 0.87, 0.83, 0.83, 0.68, 0.84, 0.75, 0.73]"
keyword_matches 关键词匹配,"[0.42, 0.75, 0.69, 0.47, 0.44, 0.59, 0.81, 0.67, 0.67, 0.64]","[0.5, 0.44, 0.56, 0.41, 0.5, 0.41, 0.69, 0.61, 0.67, 0.5]"
freq_similarities 词频分布余弦相似度,"[0.48, 0.45, 0.7, 0.42, 0.23, 0.3, 0.46, 0.49, 0.33, 0.46]","[0.23, 0.21, 0.34, 0.23, 0.3, 0.28, 0.39, 0.41, 0.26, 0.38]"
perplexities 困惑度,"[29.59, 24.68, 70.99, 156.32, 16.2, 12.64, 45.39, 20.05, 7.26, 8.86]","[10.76, 10.73, 14.95, 9.81, 13.08, 15.66, 7.22, 13.87, 5.52, 8.6]"
LLM选择,"[1, 1, 0, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
ttr_scores 词汇丰富度,"[0.86, 0.67, 1.0, 0.6, 0.68, 1.0, 0.88, 0.72, 0.65, 0.94]","[0.9, 0.72, 0.71, 0.69, 0.65, 0.82, 0.74, 0.74, 0.58, 0.83]"
keyword_matches 关键词匹配,"[0.56, 0.69, 0.69, 0.46, 0.46, 0.56, 0.5, 0.44, 0.62, 0.57]","[0.56, 0.62, 0.69, 0.54, 0.54, 0.56, 0.3, 0.33, 0.69, 0.57]"
freq_similarities 词频分布余弦相似度,"[0.47, 0.49, 0.69, 0.24, 0.31, 0.4, 0.3, 0.17, 0.36, 0.43]","[0.26, 0.41, 0.26, 0.18, 0.29, 0.14, 0.07, 0.11, 0.31, 0.36]"
perplexities 困惑度,"[21.14, 22.96, 68.76, 8.06, 14.51, 82.27, 94.74, 12.65, 13.3, 82.25]","[7.31, 8.27, 6.47, 6.94, 8.6, 13.29, 17.38, 7.09, 6.56, 13.99]"
LLM选择,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Metric,RAG_Score,LLM_Socre
ttr_scores 词汇丰富度,"[0.62, 0.71, 0.77, 0.72, 0.72, 0.76, 0.48, 0.94, 0.75, 1.0]","[0.66, 0.74, 0.75, 0.69, 0.69, 0.78, 0.63, 0.9, 0.66, 0.82]"
keyword_matches 关键词匹配,"[0.64, 0.58, 0.6, 0.67, 0.54, 0.55, 0.69, 0.59, 0.5, 0.6]","[0.55, 0.58, 0.2, 0.5, 0.54, 0.55, 0.46, 0.47, 0.5, 0.6]"
freq_similarities 词频分布余弦相似度,"[0.29, 0.32, 0.24, 0.38, 0.32, 0.34, 0.36, 0.61, 0.23, 0.63]","[0.23, 0.34, 0.09, 0.3, 0.29, 0.22, 0.21, 0.29, 0.22, 0.41]"
perplexities 困惑度,"[7.92, 10.47, 10.15, 5.7, 16.05, 9.76, 6.61, 56.33, 10.11, 60.43]","[7.49, 13.69, 7.34, 7.5, 10.61, 10.74, 8.17, 11.1, 6.49, 17.22]"
LLM选择,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
ttr_scores 词汇丰富度,"[0.76, 0.74, 0.8, 0.72, 0.8, 0.8, 0.75, 0.82, 0.81, 1.0]","[0.78, 0.77, 0.75, 0.7, 0.77, 0.78, 0.64, 0.81, 0.79, 0.73]"
keyword_matches 关键词匹配,"[0.45, 0.64, 0.44, 0.3, 0.58, 0.56, 0.67, 0.5, 0.62, 0.69]","[0.45, 0.36, 0.44, 0.4, 0.58, 0.44, 0.58, 0.4, 0.46, 0.5]"
freq_similarities 词频分布余弦相似度,"[0.33, 0.22, 0.2, 0.21, 0.39, 0.21, 0.2, 0.22, 0.35, 0.65]","[0.37, 0.1, 0.22, 0.25, 0.34, 0.2, 0.26, 0.16, 0.27, 0.33]"
perplexities 困惑度,"[21.91, 26.81, 12.89, 16.7, 21.03, 18.34, 19.1, 12.64, 13.08, 116.57]","[19.34, 13.34, 10.95, 14.53, 10.24, 11.75, 9.82, 15.2, 7.82, 11.92]"
LLM选择,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Metric,RAG_Score,LLM_Socre
ttr_scores 词汇丰富度,"[0.73, 0.73, 0.74, 0.66, 0.83, 0.74, 0.71, 0.77, 0.85, 0.75]","[0.74, 0.78, 0.82, 0.68, 0.81, 0.73, 0.77, 0.71, 0.79, 0.75]"
keyword_matches 关键词匹配,"[0.69, 0.62, 0.69, 0.67, 0.5, 0.62, 0.71, 0.58, 0.5, 0.62]","[0.69, 0.46, 0.54, 0.58, 0.4, 0.62, 0.5, 0.42, 0.33, 0.46]"
freq_similarities 词频分布余弦相似度,"[0.23, 0.26, 0.27, 0.44, 0.23, 0.18, 0.27, 0.17, 0.26, 0.22]","[0.24, 0.13, 0.16, 0.3, 0.12, 0.19, 0.23, 0.09, 0.11, 0.18]"
perplexities 困惑度,"[10.19, 13.2, 17.43, 8.06, 16.32, 10.0, 11.21, 24.59, 9.62, 21.31]","[9.57, 16.89, 13.03, 8.44, 11.97, 7.7, 12.05, 6.61, 8.87, 10.01]"
LLM选择,"[1, 1, 0, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
ttr_scores 词汇丰富度,"[0.65, 0.73, 0.86, 0.75, 0.78, 0.76, 0.74, 0.54, 0.72, 0.68]","[0.84, 0.82, 0.72, 0.72, 0.8, 0.81, 0.81, 0.77, 0.77, 0.74]"
keyword_matches 关键词匹配,"[0.44, 0.3, 0.73, 0.58, 0.69, 0.58, 0.64, 0.25, 0.64, 0.62]","[0.44, 0.3, 0.55, 0.33, 0.54, 0.33, 0.36, 0.33, 0.55, 0.62]"
freq_similarities 词频分布余弦相似度,"[0.25, 0.25, 0.22, 0.29, 0.39, 0.26, 0.21, 0.09, 0.43, 0.41]","[0.2, 0.11, 0.16, 0.11, 0.19, 0.09, 0.15, 0.18, 0.28, 0.33]"
perplexities 困惑度,"[5.59, 9.06, 15.48, 9.65, 6.53, 12.8, 9.4, 3.81, 7.74, 7.64]","[10.18, 17.4, 6.69, 7.63, 10.71, 13.09, 11.59, 11.6, 9.34, 8.04]"
LLM选择,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
ttr_scores 词汇丰富度,"[0.64, 0.67, 0.81, 0.83, 0.79, 0.75, 0.77, 0.8, 0.79, 0.75]","[0.67, 0.77, 0.72, 0.79, 0.74, 0.69, 0.7, 0.67, 0.74, 0.73]"
keyword_matches 关键词匹配,"[0.67, 0.46, 0.64, 0.42, 0.67, 0.5, 0.58, 0.62, 0.29, 0.36]","[0.58, 0.46, 0.64, 0.33, 0.42, 0.5, 0.5, 0.46, 0.5, 0.29]"
freq_similarities 词频分布余弦相似度,"[0.3, 0.14, 0.25, 0.21, 0.26, 0.39, 0.25, 0.41, 0.11, 0.1]","[0.25, 0.15, 0.3, 0.12, 0.11, 0.38, 0.32, 0.3, 0.19, 0.12]"
perplexities 困惑度,"[7.9, 14.03, 11.84, 18.61, 10.63, 10.94, 8.89, 18.65, 14.76, 9.08]","[6.99, 11.74, 8.53, 8.52, 8.8, 6.71, 5.38, 7.86, 7.47, 8.56]"
LLM选择,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
ttr_scores 词汇丰富度,"[0.73, 0.77, 0.68, 0.89, 0.77, 0.67, 0.84, 0.84, 0.71, 0.84]","[0.72, 0.75, 0.82, 0.87, 0.79, 0.75, 0.75, 0.7, 0.65, 0.79]"
keyword_matches 关键词匹配,"[0.58, 0.67, 0.27, 0.54, 0.47, 0.54, 0.6, 0.67, 0.5, 0.47]","[0.58, 0.6, 0.53, 0.46, 0.4, 0.62, 0.53, 0.6, 0.43, 0.6]"
freq_similarities 词频分布余弦相似度,"[0.15, 0.25, 0.06, 0.18, 0.24, 0.12, 0.29, 0.37, 0.24, 0.21]","[0.22, 0.22, 0.17, 0.15, 0.22, 0.18, 0.31, 0.21, 0.18, 0.17]"
perplexities 困惑度,"[10.92, 10.57, 18.35, 20.86, 11.94, 7.09, 16.07, 28.38, 9.07, 24.65]","[11.13, 8.78, 11.09, 11.32, 9.28, 7.66, 11.77, 9.62, 11.23, 8.15]"
LLM选择,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
