perplexities 困惑度,"[11.68, 12.0, 12.91, 9.2, 9.28, 10.55, 17.19, 10.76, 9.29, 11.47, 9.56, 8.48]","[9.34, 9.3, 8.05, 7.42, 6.87, 10.7, 5.71, 6.78, 7.27, 8.67, 8.32, 7.62]"
LLM选择,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[7.59, 15.87, 10.82, 8.68, 5.23, 7.03, 184.81, 19.94, 12.22, 12.12, 19.74, 92.93]","[7.56, 5.56, 6.48, 4.31, 4.74, 6.15, 12.94, 11.29, 7.55, 10.88, 7.3, 7.27]"
LLM选择,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[28.43, 6.1, 6.27, 66.68, 6.91, 10.82, 15.11, 7.27, 8.09, 4.09, 20.35, 11.3]","[4.94, 5.01, 5.2, 6.03, 4.03, 6.93, 6.08, 6.45, 5.83, 5.46, 6.51, 4.98]"
LLM选择,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[9.33, 7.97, 7.02, 7.5, 10.23, 5.74, 9.26, 11.62, 7.65, 7.69, 22.56, 13.28]","[5.66, 11.77, 6.68, 6.17, 4.39, 4.66, 5.4, 5.74, 8.74, 6.02, 7.77, 5.24]"
LLM选择,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[6.24, 5.31, 24.59, 6.07, 4.27, 13.72, 9.73, 6.54, 6.65, 21.81, 40.56, 18.17]","[5.7, 6.33, 13.9, 5.33, 6.49, 8.05, 6.28, 6.54, 5.93, 8.17, 10.89, 8.43]"
LLM选择,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[7.3, 6.33, 4.39, 5.98, 12.86, 4.74, 6.2, 23.03, 8.03, 9.31, 11.27, 10.99]","[6.48, 5.53, 4.91, 5.76, 6.82, 7.53, 5.09, 8.76, 6.93, 6.25, 8.39, 7.35]"
LLM选择,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[21.89, 10.03, 10.93, 7.44, 4.78, 8.22, 24.61, 35.34, 5.38, 26.26, 17.67, 29.61]","[6.45, 6.28, 4.88, 5.5, 4.76, 7.91, 6.91, 10.06, 5.48, 7.29, 6.09, 9.42]"
LLM选择,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[12.23, 23.32, 16.2, 9.39, 19.45, 34.05, 8.14, 12.49, 10.13, 7.03, 19.36, 9.1]","[7.16, 6.13, 7.82, 5.32, 7.23, 13.7, 9.64, 5.97, 6.52, 6.68, 5.76, 5.53]"
LLM选择,"[1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[10.41, 10.25, 126.03, 10.77, 9.0, 31.5, 17.46, 12.3, 13.78, 24.01, 14.53, 17.33]","[6.94, 6.21, 9.41, 8.44, 8.61, 12.28, 6.46, 12.4, 16.92, 12.39, 7.67, 15.88]"
LLM选择,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[9.9, 20.97, 5.88, 11.53, 17.2, 18.03, 14.82, 9.55, 15.74, 27.41, 13.11, 15.08]","[7.02, 6.75, 8.54, 5.8, 10.23, 8.74, 6.19, 6.47, 6.05, 5.49, 6.66, 6.3]"
LLM选择,"[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[11.27, 6.76, 13.55, 6.66, 9.26, 17.42, 14.84, 7.98, 9.57, 13.54, 7.32, 8.67]","[9.11, 5.77, 6.28, 7.64, 7.06, 7.68, 6.55, 6.27, 7.29, 5.92, 6.24, 6.99]"
LLM选择,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[10.92, 21.41, 16.34, 9.89, 6.0, 8.1, 9.94, 7.25, 13.98, 12.33, 5.34, 7.03]","[8.55, 7.1, 7.74, 8.32, 8.79, 8.9, 8.13, 7.26, 9.73, 9.38, 5.45, 6.85]"
LLM选择,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[11.3, 11.12, 5.89, 14.42, 22.02, 121.09, 16.09, 165.5, 34.97, 15.6, 13.95, 17.02]","[8.79, 5.82, 9.28, 8.95, 7.99, 13.17, 8.22, 11.24, 13.95, 8.01, 7.39, 10.49]"
LLM选择,"[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[19.83, 9.5, 14.72, 35.65, 7.36, 8.84, 19.37, 12.55, 30.91, 14.32, 15.96, 20.52]","[9.8, 6.3, 7.83, 12.94, 6.1, 6.48, 8.65, 8.97, 7.72, 9.1, 7.69, 8.62]"
LLM选择,"[1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1]","[0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[8.68, 7.04, 5.6, 4.78, 8.36, 6.64, 8.24, 6.64, 7.97, 5.69, 10.72, 8.71]","[5.37, 5.56, 5.79, 5.52, 8.23, 5.18, 5.55, 8.07, 9.88, 5.64, 7.06, 6.68]"
LLM选择,"[1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1]","[0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[14.37, 15.95, 5.0, 7.04, 21.8, 12.32, 11.8, 40.8, 7.21, 13.1, 14.4, 10.87]","[7.83, 6.76, 5.49, 8.05, 6.78, 6.29, 10.08, 8.26, 6.61, 6.74, 6.72, 9.15]"
LLM选择,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[13.68, 11.18, 8.43, 14.9, 12.02, 25.63, 8.43, 10.74, 8.64, 8.31, 11.14, 8.41]","[6.72, 6.93, 7.28, 6.01, 7.99, 8.18, 6.69, 5.67, 4.16, 4.53, 7.99, 6.96]"
LLM选择,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
